Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project No
Twinshiels (Tullo 2) Wind Farm,TWINSHIELS WIND FARM LTD,Fiddes GSP,,25,0,25,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iQq,PRO-000895
Twyn Hywel Cillfynydd,Twyn Hywel Energy Park Ltd,Cilfynydd 400kV Substation,,0,160,160,2025-06-30,Scoping,Directly Connected,NGET,Wind Onshore,a0l4L0000005izF,PRO-001497
Tyler Hill Ansty,FRV Tyler Hill BESS 1 Ltd,Coventry 132/275kV,,0,200,200,2033-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l8e0000012i3x,PRO-004603
Tyler Hill Bicker Fen,FRV TH Powertek Limited,Bicker Fen 400kV Substation,,0,400,400,2035-05-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000012gcN,PRO-004443
Tyler Hill Iver,FRV TH Powertek Limited,Iver 275kV Substation,,0,199.92,199.92,2037-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l8e000001HpeD,PRO-004134
Uskmouth,USKMOUTH ENERGY STORAGE LIMITED,Uskmouth 132kV Substation,1,0,230,230,2024-06-30,Under Construction/Commissioning,Directly Connected,NGET,Energy Storage System,a0l4L0000005izu,PRO-000220-1
Uskmouth,USKMOUTH ENERGY STORAGE LIMITED,Uskmouth 132kV Substation,2,0,119.9,349.9,2038-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005izu,PRO-000220-2
Uskmouth - New Connection,ENSO GREEN HOLDINGS E LIMITED,Uskmouth 275kV Substation,,0,120,120,2026-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iyt,PRO-001357
Valorous Offshore Wind Farm,BLUE GEM WIND LIMITED,Pembroke 400kV Substation,,0,300,300,2029-04-02,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iZl,PRO-001383
Vanguard,NORFOLK VANGUARD LIMITED,Necton 400kV Substation,,0,1320,1320,2025-12-01,Consents Approved,Directly Connected,NGET,Wind Offshore,a0l4L0000005izX,PRO-000459
Vanguard East,Norfolk Vanguard East Ltd,Necton 400kV Substation,1,0,400,400,2028-03-20,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005izd,PRO-000580-1
Vanguard East,Norfolk Vanguard East Ltd,Necton 400kV Substation,2,0,920,1320,2028-12-31,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005izd,PRO-000580-2
Viking Wind Farm,VIKING ENERGY WIND FARM LLP,Kergord GSP,,0,443,443,2024-07-01,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005isv,PRO-000338
Vox Charlie,Vox Charlie Ltd,Amersham GSP (EPN),,0,125.28,125.28,2037-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l8e0000010wOY,PRO-002573
VPI Immingham B OCGT,VPI IMMINGHAM B LIMITED,Humber Refinery 400kV Substation,,0,299,299,2024-09-30,Scoping,Directly Connected,NGET,Gas Reciprocating,a0l4L0000005iPc,PRO-000854
Wakeleys BESS,EPL NEWCO6 LIMITED,Wakeleys 400kV,,0,480,480,2033-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f5Bx,PRO-003921
Walham 700MW BESS,GPC 1154 Ltd,Walham 400kV Substation,,0,700,700,2038-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L000002yQZZ,PRO-002551
Walham PV & BESS Sub,O&G Solar (SPV 35) Limited,Walham 400kV Substation,,0,249,249,2033-11-17,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005j8W,PRO-002522
Walney 3 Offshore Wind Farm,WALNEY EXTENSION LIMITED,Walney 3 Offshore Substation,,330,0,330,,Built,Directly Connected,NGET,Wind Offshore,a0l4L0000005iql,PRO-000239
Walney 4 Offshore Wind Farm,WALNEY EXTENSION LIMITED,Walney 4 Offshore Substation,,330,0,330,,Built,Directly Connected,NGET,Wind Offshore,a0l4L0000005iqm,PRO-000240
Walney II Offshore Wind Farm,WALNEY (UK) OFFSHORE WINDFARMS LIMITED,Walney 2 33/132kV Substation,,182,0,182,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005iqH,PRO-000222
Walney I Offshore Wind Farm,WALNEY (UK) OFFSHORE WINDFARMS LIMITED,Walney 1 33/132kV Offshore Substation,,182,0,182,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005iqG,PRO-000221
Walpole,PIVOTED POWER LLP,Walpole 400kV Substation,,0,49.9,49.9,2022-10-31,Under Construction/Commissioning,Directly Connected,NGET,Energy Storage System,a0l4L0000005ifg,PRO-001114
Walpole 1 (Tertiary),WALPOLE GREEN LIMITED,Walpole 400kV Substation,1,0,49.9,49.9,2023-05-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipk,PRO-000556-1
Walpole 1 (Tertiary),WALPOLE GREEN LIMITED,Walpole 400kV Substation,2,0,7.1,57,2023-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipk,PRO-000556-2
Walpole 2 (tertiary),ENSO GREEN HOLDINGS R LIMITED,Walpole 400kV Substation,,0,100,100,2024-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ioV,PRO-000505
Walpole Flexible Generation,FLEXIBLE GENERATION 1 LTD,Walpole 400kV Substation,,0,2000,2000,2033-06-30,Scoping,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Energy Storage System,a0l4L0000005ikm,PRO-002440
Walpole Grid Services Facility,Conrad (Walpole) Limited,Walpole 400kV Substation,,0,0,0,2025-05-31,Consents Approved,Directly Connected,NGET,Reactive Compensation,a0l8e000000exSn,PRO-003728
Walsoken Battery,Walsoken Limited,Walpole 132kV Substation,,0,200,200,2033-10-30,Scoping,Embedded,NGET,Energy Storage System,a0l8e0000010wZd,PRO-002690
Waltham Cross BESS,ENSO GREEN HOLDINGS LIMITED,Waltham Cross GSP,,0,57,57,2028-09-29,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005icC,PRO-002070
Waltham Cross BESS,SHAW-ENERGI LTD,Waltham Cross 400kV Substation,,0,300,300,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000ewXc,PRO-003665
Waltham Cross Farm 1 (Post Interactivity),548 UK INVESTMENT HOLDINGS LIMITED,Waltham Cross 400kV Substation,,0,200,200,2033-04-04,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exNI,PRO-003711
Warley,WARLEY BATTERY STORAGE,Warley 275kV Substation,,0,57,57,2024-06-30,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005ifh,PRO-001113
Warley (tertiary),WARLEY GREEN LIMITED,Warley 275kV Substation,1,0,49.9,49.9,2023-07-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipl,PRO-000555-1
Warley (tertiary),WARLEY GREEN LIMITED,Warley 275kV Substation,2,0,7.1,57,2024-06-28,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipl,PRO-000555-2
Warley 2,CSE26 LIMITED,Warley 275kV Substation,1,0,150,150,2029-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iPF,PRO-001848-1
Warley 2,CSE26 LIMITED,Warley 275kV Substation,2,0,50,200,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iPF,PRO-001848-2
Warley Battery Energy Storage,ABBEY PROPERTIES CAMBRIDGESHIRE LIMITED,Warley 275kV Substation,,0,200,200,2029-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iwp,PRO-002321
Warley PV & BESS,O&G Solar (SPV 36) Limited,Warley 275kV Substation,,0,249.9,249.9,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L000002yQWQ,PRO-002537
Water Lane,VIRIDIS 178 LIMITED,Exeter GSP,,20.88,0,20.88,,Built,Embedded,NGET,CHP (Combined Heat and Power),a0l4L0000005iVr,PRO-000241
Waternish Wind Farm Substaion,WIND DEVELOPMENT HOLDINGS LIMITED,Waternish Wind Farm 12KV Substation,,0,81.6,81.6,2034-04-30,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ike,PRO-002295
Weaver BESS,ECODEV PROJECTS LTD,Frodsham 400kV Substation,,0,240,240,2037-11-01,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000010wOP,PRO-002571
Weirs Drove,EAST ANGLIA GRID STORAGE ONE LIMITED,Burwell Main 400kV Substation,1,49.9,0,49.9,,Built,Embedded,NGET,Energy Storage System,a0l4L0000005iXk,PRO-001655-1
Weirs Drove,EAST ANGLIA GRID STORAGE ONE LIMITED,Burwell Main 400kV Substation,2,0,30,79.9,2028-10-31,Scoping,Embedded,NGET,Energy Storage System,a0l4L0000005iXk,PRO-001655-2
WELBAR ENERGY STORAGE,WELBAR ENERGY STORAGE LIMITED,Hams Hall 400kV Substation,1,0,349.9,349.9,2026-10-30,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005iey,PRO-001735-1
WELBAR ENERGY STORAGE,WELBAR ENERGY STORAGE LIMITED,Hams Hall 400kV Substation,2,0,50,399.9,2032-10-31,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005iey,PRO-001735-2
Well Street Paisley,Gas Generation Property Limited,Elderslie 132/33kV Substation,,0,49.9,49.9,2025-05-06,Scoping,Embedded,SPT,Energy Storage System,a0l4L0000005iWq,PRO-002265
West Andershaw Wind Farm,WEST ANDERSHAW WIND FARM LIMITED,West Andershaw 132kV Substation,,0,85.8,85.8,2030-04-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l8e0000010wPR,PRO-002584
West Burton,ENSO GREEN HOLDINGS A LIMITED,West Burton 132kV Substation,1,0,49.9,49.9,2025-06-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iYC,PRO-001323-1
West Burton,ENSO GREEN HOLDINGS A LIMITED,West Burton 132kV Substation,2,0,49.9,99.8,2026-06-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iYC,PRO-001323-2
West Burton,ENSO GREEN HOLDINGS A LIMITED,West Burton 132kV Substation,3,0,20.2,120,2026-12-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iYC,PRO-001323-3
West Burton B,WEST BURTON B LIMITED,West Burton 400kV Substation,,1333,500,1833,2032-10-31,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Energy Storage System,a0l4L0000005ilI,PRO-000369
West Burton Solar Project,WEST BURTON SOLAR PROJECT LIMITED,West Burton 400kV Substation,,0,480,480,2028-11-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipf,PRO-000561
Westermost Rough Offshore Wind Farm,WESTERMOST ROUGH LIMITED,Westermost Rough Offshore Substation,,206.5,0,206.5,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005iqI,PRO-000223
Westerton Lane BESS,GPC Battery Ltd,Busby 275kV,,0,150,150,2029-09-17,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000TPLz,PRO-003267
West Grimsby Farm,ELGIN ENERGY ES CO LIMITED,Grimsby West GSP,,0,150,150,2035-10-31,Awaiting Consents,Embedded,NGET,PV Array (Photo Voltaic/solar),a0l8e0000012gbe,PRO-004434
West Haddon,ORRÖN ENERGY DEVELOPMENT LIMITED,West Haddon 400kV,,0,1000,1000,2039-10-31,Scoping,Directly Connected,NGET,Demand; PV Array (Photo Voltaic/solar),a0l8e000000TPRU,PRO-003417
West Haddon,SSE DE SOLAR HOLDCO LIMITED,West Haddon 400kV Substation,,0,600,600,2039-10-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f41E,PRO-003820
West of Duddon Sands Offshore Wind Farm,MORECAMBE WIND LIMITED,West of Duddon Sands 34/155kV Offshore Substation,,382,0,382,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005iq9,PRO-000210
West Oxfordshire Energy Park,LOW CARBON SOLAR PARK 43 LIMITED,Lechlade GSP,,0,500,500,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000001Hxm2,PRO-004296
West Saval Battery Storage,West Saval Battery Storage Ltd,West Saval Substation 132 kV,,0,200,200,2030-10-31,Scoping,Directly Connected,SHET,Demand; Energy Storage System,a0l8e0000011yC5,PRO-003510
West Torrisdale,ESB ASSET DEVELOPMENT UK LIMITED,Carradale 1 GSP,,0,50,50,2027-04-30,Scoping,Embedded,SHET,Wind Onshore,a0l4L0000005iT2,PRO-000944
West Weybridge,ORRÖN ENERGY DEVELOPMENT LIMITED,West Weybridge 400kV Substation,,0,1000,1000,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000TPQw,PRO-003410
West Weybridge,PIVOTED POWER LLP,West Weybridge 275kV Substation,,0,49.9,49.9,2027-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ign,PRO-001108
West Weybridge (Tertiary),ENSO GREEN HOLDINGS LIMITED,West Weybridge 275kV Substation,1,0,49.9,49.9,2025-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipo,PRO-000552-1
West Weybridge (Tertiary),ENSO GREEN HOLDINGS LIMITED,West Weybridge 275kV Substation,2,0,7.1,57,2027-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipo,PRO-000552-2
Wether Hill,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Wether Hill 132/33KV Substation,,0,66,66,2028-12-01,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ig2,PRO-001527
White Cairns BESS,CBS ENERGY STORAGE ASSETS UK LIMITED,Peterhead 275kV,,0,400,400,2033-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000001HrmF,PRO-004219
Whitegate Tertiary Connection,HD144WHI LTD,Whitegate 275kV Substation,,0,57,57,2024-06-30,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005io8,PRO-000512
Whitehill Battery Storage,Whitehill Battery Storage Ltd,Easterhouse 275kV,,0,200,200,2026-10-31,Awaiting Consents,Directly Connected,SPT,Energy Storage System,a0l4L0000005idp,PRO-002093
Whitehouse BESS station,IGP INTERNATIONAL PROSPECTING LIMITED,Crossaig 132kV Substation,,0,249,249,2034-10-31,Scoping,Directly Connected,SHET,Demand; Energy Storage System,a0l4L0000005iu6,PRO-002237
Whitelaw Brae BESS,BUK23 Limited,Whitelaw Brae B 33kV Substation,,0,1,1,2026-07-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e000000TPIW,PRO-003247
Whitelaw Brae Windfarm,WHITELAW BRAE WINDFARM LIMITED,Whitelaw Brae 'A' and 'B' 33kV Substations,,0,57,57,2024-06-28,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005isx,PRO-000341
Whitelee,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Whitelee GSP,1,305,0,305,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ime,PRO-000067-1
Whitelee,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Whitelee GSP,2,0,355,660,2029-06-15,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ime,PRO-000067-2
Whitelee Extension,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Whitelee Extension,,206,32,238,2023-03-31,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005imf,PRO-000068
Whiteleigh Farm,Greenswitch Capital Limited,Pyworthy 400kV Substation,,0,300,300,2036-12-06,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iMI,PRO-002385
Whiteside Hill Wind Farm,WHITESIDE HILL WINDFARM (SCOTLAND) LIMITED,Glenglass 132/33kV Substation,,27,0,27,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005irL,PRO-000267
Whitson,PIVOTED POWER LLP,Whitson 275kV Substation,,0,49.9,49.9,2026-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ieF,PRO-001061
Whitson BESS NP,NORIKER POWER LTD,Whitson 275kV Substation,,0,350,350,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000TP6f,PRO-003102
Willington,PIVOTED POWER LLP,Willington East 400kV Substation,,0,57,57,2026-06-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005isl,PRO-000326
Willington,SSE UTILITY SOLUTIONS LIMITED,Willington 400kV Substation,,0,600,600,2029-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iuY,PRO-002257
Willington East 1 (Tertiary),ENSO GREEN HOLDINGS LIMITED,Willington East 400kV Substation,1,0,49.9,49.9,2025-06-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipp,PRO-000551-1
Willington East 1 (Tertiary),ENSO GREEN HOLDINGS LIMITED,Willington East 400kV Substation,2,0,7.1,57,2027-06-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ipp,PRO-000551-2
Willington East 2 (Tertiary),ENSO GREEN HOLDINGS LIMITED,Willington East 400kV Substation,1,0,49.9,49.9,2025-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ips,PRO-000548-1
Willington East 2 (Tertiary),ENSO GREEN HOLDINGS LIMITED,Willington East 400kV Substation,2,0,7.1,57,2027-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ips,PRO-000548-2
Willington Energy Park,RNA-ENERGY LTD,Willington 400kV Substation,,0,500,500,2028-03-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iYw,PRO-001964
Willington Green Energy Centre,WILLINGTON GREEN ENERGY LIMITED,Willington 400kV Substation,1,0,400,400,2026-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ikH,PRO-001797-1
Willington Green Energy Centre,WILLINGTON GREEN ENERGY LIMITED,Willington 400kV Substation,2,0,625,1025,2029-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ikH,PRO-001797-2
Willington PV & BESS,O&G Solar (SPV 45) Limited,Willington East 400kV Substation,,0,249.9,249.9,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000001Hper,PRO-004142
Wilton,SEMBCORP UTILITIES (UK) LIMITED,Greystones A 275kV Substation,,141,0,141,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005ize,PRO-000228
WindyHill BESS2 Facility,ENERGYGRIDPOWER LTD,Windy Hill Grid 132kV Substation,,0,200,200,2024-09-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ib7,PRO-002032
WindyHill Energy Storage Facility,ENERGYGRIDPOWER LTD,Windy Hill Grid 132kV Substation,,0,200,200,2024-07-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l4L0000005ies,PRO-001696
Windy Rig Wind Farm,WINDY RIG WIND FARM LIMITED,Blackhill 132kV Substation,,42.8,0,42.8,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ilo,PRO-000374
Windy Standard II (Brockloch Rig) Wind Farm,BROCKLOCH RIG WINDFARM LIMITED,Dun Hill 132/33kV Substation,1,61.5,0,61.5,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005iqj,PRO-000233-1
Windy Standard II (Brockloch Rig) Wind Farm,BROCKLOCH RIG WINDFARM LIMITED,Dun Hill 132/33kV Substation,2,0,13.5,75,2024-06-30,Consents Approved,Directly Connected,SPT,Wind Onshore,a0l4L0000005iqj,PRO-000233-2
Windy Standard III Wind Farm,Brockloch Rig III Ltd,Dun Hill 132/33kV Substation,1,0,43.5,43.5,2024-06-30,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ite,PRO-000359-1
Windy Standard III Wind Farm,Brockloch Rig III Ltd,Dun Hill 132/33kV Substation,2,0,42,85.5,2024-06-30,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ite,PRO-000359-2
Windy Standard III Wind Farm,Brockloch Rig III Ltd,Dun Hill 132/33kV Substation,3,0,10.5,96,2029-06-30,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ite,PRO-000359-3
Wishaw Energy Storage Facility,ZENOBE WISHAW LIMITED,Wishaw 33 kV Substation,,49.95,0,49.95,,Built,Directly Connected,SPT,Energy Storage System,a0l4L0000005ixR,PRO-001433
Woburn Solar Farm,SolarThree Ltd,Dunstable 400kV Substation,,0,840,840,2031-10-31,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l8e0000010x0F,PRO-003033
Womblehill BESS Farm,RE Projects Development Limited,Womblehill BESS Farm 132kV,,0,200,200,2029-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005itj,PRO-002197
WORSET LANE BESS,HARTFINDER ONE LIMITED,Hartmoor 275kV Substation,,0,200,200,2033-10-28,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l8e000000ew2x,PRO-003650
Worset PV & BESS Park,Worcestershire Solar 1 Limited,Hartmoor 275kV Substation,,0,37.5,37.5,2024-06-07,Consents Approved,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ieL,PRO-001055
Wright Street BESS,P3P PARTNERS LLP,Braehead Park GSP,,0,49.9,49.9,2025-07-16,Scoping,Embedded,SPT,Energy Storage System,a0l8e0000010xh3,PRO-003083
Wylfa Substation,ENSO GREEN HOLDINGS LIMITED,Wylfa 132kV Substation,,0,120,120,2026-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ioD,PRO-000506
Wymondley,ENSO GREEN HOLDINGS LIMITED,Wymondley 400kV Substation,1,0,200,200,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyN,PRO-002187-1
Wymondley,ENSO GREEN HOLDINGS LIMITED,Wymondley 400kV Substation,2,0,100,300,2032-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyN,PRO-002187-2
Wymondley,ENSO GREEN HOLDINGS LIMITED,Wymondley 400kV Substation,3,0,100,400,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyN,PRO-002187-3
Wymondley,PIVOTED POWER LLP,Wymondley 400kV Substation,,0,57,57,2025-06-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005iOg,PRO-001245
Wymondley BESS Limited,AGR RENEWABLES LIMITED,Wymondley 400kV Substation,,0,35.5,35.5,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000011y2S,PRO-003496
Wymondley Farm,Wymondley 10 Renewables Ltd,Wymondley 400kV Substation,,0,1000,1000,2032-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L000002yQZj,PRO-002552
Wymondley GEC (Ethos Green),WYMONDLEY GREEN ENERGY CENTRE LTD,Wymondley 400kV Substation,,0,700,700,2032-10-30,Awaiting Consents,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e000000f5Y7,PRO-003934
